datetime,Kisses
4/25/2015,239
4/26/2015,13
4/6/2015,88
4/7/2015,1015
4/6/2015,1413
4/8/2015,180
4/27/2015,492
4/8/2015,1348
4/7/2015,2389
4/6/2015,147
4/26/2015,421
4/8/2015,117
4/6/2015,2102
4/26/2015,787
4/8/2015,116
4/26/2015,643
4/6/2015,1195
4/25/2015,1148
4/26/2015,647
4/25/2015,86
4/26/2015,143
4/8/2015,982
4/25/2015,812
4/6/2015,25
4/7/2015,1282
4/25/2015,125
4/26/2015,533
4/6/2015,431
4/26/2015,361
4/8/2015,1901
4/8/2015,2926
4/25/2015,38
4/26/2015,478
4/6/2015,710
4/7/2015,25
4/6/2015,194
4/8/2015,468
4/27/2015,1469
4/8/2015,368
4/7/2015,143
4/6/2015,134
4/26/2015,124
4/8/2015,360
4/6/2015,486
4/26/2015,6
4/8/2015,1065
4/26/2015,316
4/6/2015,1717
4/25/2015,1016
4/26/2015,297
4/25/2015,216
4/26/2015,328
4/8/2015,81
4/25/2015,158
4/6/2015,97
4/7/2015,89
4/25/2015,37
4/26/2015,754
4/6/2015,138
4/26/2015,548
4/8/2015,2358
4/8/2015,1196
4/8/2015,3679
4/6/2015,292
4/26/2015,272
4/6/2015,132
4/19/2015,35
4/26/2015,1306
4/24/2015,203
4/8/2015,530
4/26/2015,301
4/6/2015,1173
4/26/2015,335
4/6/2015,39
4/25/2015,772
4/6/2015,623
4/26/2015,6155
4/8/2015,1194
4/6/2015,0
4/26/2015,348
4/26/2015,1978
4/11/2015,638
4/26/2015,450
4/5/2015,52
4/6/2015,362
4/8/2015,467
4/6/2015,1187
4/6/2015,1898
4/6/2015,317
4/27/2015,593
4/26/2015,3739
4/6/2015,734
4/6/2015,290
4/7/2015,20
4/27/2015,551
4/6/2015,1854
5/3/2015,1027
4/26/2015,2750
4/6/2015,1084
4/26/2015,158
4/6/2015,1117
4/6/2015,413
4/25/2015,241
4/6/2015,730
4/6/2015,316
4/7/2015,355
4/25/2015,746
4/26/2015,22
4/6/2015,644
4/26/2015,88
4/8/2015,644
4/8/2015,298
4/25/2015,2146
4/26/2015,3687
4/6/2015,1116
4/7/2015,276
4/6/2015,667
4/8/2015,189
4/27/2015,396
4/8/2015,142
4/7/2015,188
4/6/2015,40
4/26/2015,338
4/8/2015,247
4/6/2015,520
