User ID Number,Gender,Seeking,Age,Profile Visits,Kisses,Fans,Country Name,Country Cordinates,User Country,City Cordinates,Last Known City Location,Location,lastOnlineDate,lastOnlineTime,User ID,Age Category
0,F,M,25,8279,239,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"49.3802∞ N, 10.1867∞ E",Rothenburg,R√ºmlang,2015-04-25T20:43:26Z,1429994606,55303fc3160ba0eb728b4575,Late Twenties
1,F,M,22,663,13,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.4644∞ N, 7.8107∞ E",Sissach,Sissach,2015-04-26T09:19:35Z,1430039975,552e7b61c66da10d1e8b4c82,Early Twenties
2,F,M,21,1369,88,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"48.7258∞ N, 2.1252∞ E",Villiers-le-Bacle,Villiers-le-Bacle,2015-04-06T14:24:07Z,1428330247,54a584ecc56da128638b4674,Early Twenties
3,F,none,20,22187,1015,2,Canada,"56.1304∞ N, 106.3468∞ W",CA,"45.5019∞ N, 73.5674∞ W",Montreal,Berne,2015-04-07T11:21:01Z,1428405661,54c92738076ea1b5338b4735,Early Twenties
4,F,M,21,35262,1413,9,Germany,"51.1657∞ N, 10.4515∞ E",DE,"50.1109∞ N, 8.6821∞ E",Frankfurt,Rastatt,2015-04-06T14:25:20Z,1428330320,54e1a6f6c76da135748b4a3a,Early Twenties
5,F,M,24,7339,180,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"50.1109∞ N, 8.6821∞ E",Frankfurt,Titisee-Neustadt,2015-04-08T14:37:51Z,1428503871,54f2b4ce0b6ea1177e8b4d18,Early Twenties
6,F,none,24,18672,492,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"50.1109∞ N, 8.6821∞ E",Frankfurt,Stuttgart,2015-04-27T19:29:58Z,1430162998,54ecbb39170ba08b488b4aa5,Early Twenties
7,F,M,23,19091,1348,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"50.1109∞ N, 8.6821∞ E",Frankfurt,Bad Krozingen,2015-04-08T14:18:11Z,1428502691,54fc1786170ba041758b4577,Early Twenties
8,F,M,20,29984,2389,10,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.4718∞ N, 7.2866∞ E",Gstaad,Steffisburg,2015-04-07T20:01:55Z,1428436915,550c8310066ea13f808b4b35,Early Twenties
9,F,M,24,5979,147,1,Germany,"51.1657∞ N, 10.4515∞ E",DE,"50.1109∞ N, 8.6821∞ E",Frankfurt,Stuttgart,2015-04-06T16:10:49Z,1428336649,53745af3150ba023158b4588,Early Twenties
10,F,M,22,10450,421,2,France,"46.2276∞ N, 2.2137∞ E",FR,"48.8566∞ N, 2.3522∞ E",Paris,Bad Bellingen,2015-04-26T11:23:41Z,1430047421,53eb2d41ea6da1bb178b4aa0,Early Twenties
11,F,both,20,2612,117,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.5596∞ N, 7.5886∞ E",Basel,Liestal,2015-04-08T14:34:25Z,1428503665,5501ff6bcc6da1e21e8b45b5,Early Twenties
12,F,M,22,31736,2102,6,Germany,"51.1657∞ N, 10.4515∞ E",DE,"50.1109∞ N, 8.6821∞ E",Frankfurt,Holzheim,2015-04-06T14:52:17Z,1428331937,54fa217d190ba0a1618b4668,Early Twenties
13,F,M,20,32450,787,10,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.3769∞ N, 8.5417∞ E",Zurich,Z√ºrich,2015-04-26T10:04:30Z,1430042670,54ce9b6d170ba0c7548b4bef,Early Twenties
14,F,M,22,1710,116,1,Germany,"51.1657∞ N, 10.4515∞ E",DE,"50.1109∞ N, 8.6821∞ E",Frankfurt,Hinterzarten,2015-04-08T14:49:55Z,1428504595,500aef252d15de2d6f00046e,Early Twenties
15,F,M,25,26842,643,1,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"49.3802∞ N, 10.1867∞ E",Rothenburg,Rifferswil,2015-04-26T17:19:17Z,1430068757,54e238cdcb6da1706f8b4b44,Late Twenties
16,F,M,21,31020,1195,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"50.1109∞ N, 8.6821∞ E",Frankfurt,Pulheim,2015-04-06T14:57:34Z,1428332254,53d7e6c8170ba055398b54ea,Early Twenties
