,Gender,Seeking,Age,Pictures,Profile Visits,Kisses,Fans,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,Country,City,Location,distance,isFlirtstar,isHighlighted,isInfluencer,isMobile,isNew,isOnline,isVip,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,Verified,lastOnlineDate,lastOnlineTime,User ID,Under 25
0,F,M,25,4,8279,239,0,True,True,True,CH,Rothenburg,Rümlang,175.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-25T20:43:26Z,1429994606.0,55303fc3160ba0eb728b4575,0
1,F,M,22,5,663,13,0,True,True,True,CH,Sissach,Sissach,138.0,0,0,0,1,0,0,0,3,True,False,True,True,False,False,0,2015-04-26T09:19:35Z,1430039975.0,552e7b61c66da10d1e8b4c82,1
2,F,M,21,4,1369,88,0,False,False,True,CH,Bâle,Bâle,137.0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,0,2015-04-06T14:24:07Z,1428330247.0,54a584ecc56da128638b4674,1
3,F,none,20,3,22187,1015,2,True,True,False,CA,Montréal,Berne,77.3,0,0,0,0,0,0,0,2,True,True,False,False,False,False,0,2015-04-07T11:21:01Z,1428405661.0,54c92738076ea1b5338b4735,1
4,F,M,21,12,35262,1413,9,True,False,False,DE,Rastatt,Rastatt,286.0,0,0,0,0,0,1,0,1,False,False,True,False,False,False,0,2015-04-06T14:25:20Z,1428330320.0,54e1a6f6c76da135748b4a3a,1
5,F,M,24,18,7339,180,0,True,False,True,DE,Titisee-Neustadt,Titisee-Neustadt,194.0,0,0,0,1,0,1,0,2,False,True,True,False,False,False,0,2015-04-08T14:37:51Z,1428503871.0,54f2b4ce0b6ea1177e8b4d18,1
6,F,none,24,13,18672,492,0,False,True,False,DE,Stuttgart,Stuttgart,318.0,0,0,0,1,0,1,0,5,False,True,True,False,False,False,0,2015-04-27T19:29:58Z,1430162998.0,54ecbb39170ba08b488b4aa5,1
7,F,M,23,6,19091,1348,0,True,False,True,DE,Eisenhüttenstadt,Bad Krozingen,175.0,0,0,0,1,0,0,0,2,False,True,True,False,False,False,0,2015-04-08T14:18:11Z,1428502691.0,54fc1786170ba041758b4577,1
8,F,M,20,14,29984,2389,10,True,True,True,CH,Gstaad,Steffisburg,81.4,0,0,0,1,0,0,0,3,True,True,True,False,False,False,0,2015-04-07T20:01:55Z,1428436915.0,550c8310066ea13f808b4b35,1
9,F,M,24,1,5979,147,1,True,True,True,DE,Stuttgart,Stuttgart,315.0,0,0,0,0,0,1,0,2,False,True,True,False,False,False,0,2015-04-06T16:10:49Z,1428336649.0,53745af3150ba023158b4588,1
